nome,partido,id_dep,qtd
Jones Martins,pmdb,194262.0,4
Jony Marcos,prb,178971.0,13
Jorge Boeira,pp,74388.0,14
Jorge Côrte Real,ptb,160572.0,10
Jorge Solla,pt,178857.0,13
Jorge Tadeu Mudalen,dem,73535.0,10
Jorginho Mello,pr,160509.0,12
Jose Stédile,psb,160607.0,2
Josi Nunes,pmdb,114941.0,8
Josias Gomes,pt,74141.0,1
Josué Bengtson,ptb,74351.0,11
José Airton Cirilo,pt,141464.0,17
José Carlos Aleluia,dem,74553.0,7
José Carlos Araújo,pr,74140.0,13
José Fogaça,pmdb,131966.0,5
José Guimarães,pt,141470.0,19
José Mentor,pt,74275.0,20
José Nunes,psd,160619.0,3
José Otávio Germano,pp,74395.0,45
José Priante,pmdb,74079.0,21
José Reinaldo,psb,73714.0,12
José Rocha,pr,74554.0,22
Jovair Arantes,ptb,73666.0,27
Jozi  Araújo,pode,178851.0,7
Jozi  Araújo,ptn,178851.0,16
João Arruda,pmdb,160573.0,12
João Campos,prb,74366.0,16
João Carlos Bacelar,pr,141458.0,31
João Daniel,pt,178970.0,1
João Derly,rede,178965.0,13
João Fernando Coutinho,psb,178917.0,9
João Gualberto,psdb,178856.0,24
João Marcelo Souza,pmdb,112437.0,14
João Paulo Kleinübing,psd,178967.0,6
João Paulo Papa,psdb,178988.0,5
João Rodrigues,psd,160571.0,11
Julio Lopes,pp,74253.0,9
Julião Amin Castro,pdt,141474.0,8
Junior Marreca,pen,178885.0,19
Juscelino Filho,dem,178886.0,9
Jutahy Junior,psdb,74570.0,2
Jéssica Sales,pmdb,178839.0,32
Jô Moraes,pcdob,141503.0,10
Júlia Marinho,psc,67312.0,11
Júlio Cesar,psd,74317.0,8
Júlio Delgado,psb,73586.0,13
Kaio Maniçoba,pmdb,178918.0,9
Keiko Ota,psb,160659.0,11
Laercio Oliveira,solidaried,151208.0,19
Laerte Bessa,pr,141478.0,12
Laudivio Carvalho,solidaried,178894.0,1
Laura Carneiro,pmdb,74856.0,16
Leandre,pv,178832.0,11
Lelo Coimbra,pmdb,141562.0,10
Leo de Brito,pt,178825.0,19
Leonardo Monteiro,pt,74156.0,10
Leonardo Quintão,pmdb,141482.0,12
Leopoldo Meyer,psb,160663.0,3
Leônidas Cristino,pdt,74299.0,10
Lincoln Portela,prb,74585.0,14
Lindomar Garçon,prb,141483.0,14
Lobbe Neto,psdb,74277.0,2
Luana Costa,psb,81366.0,15
Lucas Vergilio,solidaried,178879.0,4
Luciana Santos,pcdob,160628.0,18
Luciano Bivar,psl,74478.0,1
Luciano Ducci,psb,178931.0,11
Lucio Mosquini,pmdb,178954.0,13
Lucio Vieira Lima,pmdb,94931.0,21
Luis Carlos Heinze,pp,73483.0,8
Luis Tibé,ptdob,160510.0,24
Luiz Carlos Hauly,psdb,73778.0,7
Luiz Carlos Ramos,pode,178802.0,1
Luiz Carlos Ramos,ptn,178802.0,2
Luiz Cláudio,pr,178955.0,7
Luiz Couto,pt,74041.0,1
Luiz Fernando Faria,pp,141487.0,10
Luiz Lauro Filho,psb,178982.0,8
Luiz Nishimori,pr,162332.0,17
Luiz Sérgio,pt,74688.0,8
Luiza Erundina,psol,74784.0,9
Luizianne Lins,pt,178866.0,33
Luzia Ferreira,pps,198198.0,5
Lázaro Botelho,pp,141480.0,5
Lúcio Vale,pr,141484.0,13
Macedo,pp,178867.0,21
Magda Mofatto,pr,166402.0,11
Maia Filho,pp,151965.0,14
Major Olimpio,solidaried,178826.0,12
Mandetta,dem,160633.0,12
Mara Gabrilli,psdb,160565.0,14
Marcelo Aguiar,dem,160660.0,9
Marcelo Aro,phs,146788.0,21
Marcelo Castro,pmdb,74460.0,11
Marcelo Delaroli,pr,195826.0,7
Marcelo Matos,phs,76287.0,14
Marcelo Squassoni,prb,118594.0,14
Marcelo Álvaro Antônio,pr,179000.0,15
Marcio Alvino,pr,178983.0,2
Marco Antônio Cabral,pmdb,178942.0,12
Marco Maia,pt,133373.0,31
Marco Tebaldi,psdb,160536.0,10
Marcon,pt,160535.0,26
Marcos Abrão,pps,178880.0,5
Marcos Medrado,pode,74634.0,1
Marcos Medrado,solidaried,74634.0,1
Marcos Montes,psd,141500.0,26
Marcos Reategui,psd,178852.0,4
Marcos Rogério,dem,167722.0,11
Marcos Soares,dem,178943.0,28
Marcus Pestana,psdb,159238.0,7
Marcus Vicente,pp,74235.0,14
Margarida Salomão,pt,171619.0,20
Maria Helena,psb,64960.0,13
Maria do Rosário,pt,74398.0,21
Mariana Carvalho,psdb,178956.0,22
Marinaldo Rosendo,psb,178919.0,16
Marinha Raupp,pmdb,74177.0,14
Mauro Lopes,pmdb,74749.0,14
Mauro Mariani,pmdb,141507.0,9
Mauro Pereira,pmdb,124411.0,8
Miguel Haddad,psdb,178984.0,11
Miguel Lombardi,pr,178985.0,3
Milton Monti,pr,74787.0,10
Miro Teixeira,rede,74862.0,1
Misael Varella,dem,178895.0,15
Missionário José Olimpio,dem,160561.0,11
Moisés Diniz,pcdob,195278.0,8
Moses Rodrigues,pmdb,178997.0,12
Márcio Marinho,prb,150418.0,16
Mário Heringer,pdt,74158.0,1
Mário Negromonte Jr,pp,178858.0,8
Mário Negromonte Jr.,pp,178858.0,5
Nelson Marquezelli,ptb,73553.0,6
Nelson Meurer,pp,73781.0,6
Nelson Padovani,psdb,160566.0,21
Nelson Pellegrino,pt,74571.0,8
Newton Cardoso Jr,pmdb,178896.0,21
Nilson Leitão,psdb,166401.0,16
Nilson Pinto,psdb,74352.0,6
Nilto Tatto,pt,178986.0,10
Nilton Capixaba,ptb,74359.0,6
Nivaldo Albuquerque,prp,194260.0,11
Norma Ayub,dem,66179.0,10
Odorico Monteiro,pros,178868.0,9
Odorico Monteiro,psb,178868.0,7
Onyx Lorenzoni,dem,74399.0,18
