,id,nome,numero,ano,datApresentacao,txtEmenta,txtExplicacaoEmenta,qtdAutores,indGenero,qtdOrgaosComEstado,tipoProposicao_id,tipoProposicao_sigla,tipoProposicao_nome,orgaoNumerador_sigla,orgaoNumerador_nome,orgaoNumerador_id,regime_txtRegime,regime_codRegime,apreciacao_txtApreciacao,apreciacao_id,autor1_txtSiglaPartido,autor1_idecadastro,autor1_txtNomeAutor,autor1_codPartido,autor1_txtSiglaUF,ultimoDespacho_datDespacho,ultimoDespacho_txtDespacho,situacao_id,situacao_descricao,situacao_principal_proposicaoPrincipal,situacao_principal_codProposicaoPrincipal,situacao_orgao_codOrgaoEstado,situacao_orgao_siglaOrgaoEstado
2075,2124577,PL 7012/2017,7012,2017,7/3/2017 14:36:00,Estende às sociedades de grande porte disposições relativas à publicação e divulgação de demonstrações financeiras.,"Altera a Lei nº 11.638, de 2007.",1,o,1,139,PL,Projeto de Lei,PLEN,PLENÁRIO,180,"Ordinária (Art. 151, III, RICD)",14,Proposição Sujeita à Apreciação Conclusiva pelas Comissões - Art. 24 II,4,PR,178865,Cabo Sabino,168,CE,24/3/2017 08:44:00,"Às Comissões de Desenvolvimento Econômico, Indústria, Comércio e Serviços e Constituição e Justiça e de Cidadania (Art. 54 RICD) - Art. 24, IIProposição Sujeita à Apreciação Conclusiva pelas Comissões - Art. 24 II. Regime de Tramitação: Ordinária (Art. 151, III, RICD)",923,Arquivada,,0,4,MESA
2076,2124566,PL 7010/2017,7010,2017,7/3/2017 14:16:00,"Cria medida protetiva que obriga o autor de violência familiar a frequentar tratamentos, orientação psicológica e de assistência social e cursos de contenção de raiva e agressividade.","Altera a Lei nº 11.340, de 2006.",1,o,1,139,PL,Projeto de Lei,PLEN,PLENÁRIO,180,"Prioridade (Art. 151, II, RICD)",20,Proposição Sujeita à Apreciação do Plenário,5,PSB,160659,Keiko Ota,125,SP,16/3/2017 15:36:00,"Apense-se à(ao) PL-5001/2016. Proposição Sujeita à Apreciação do Plenário. Regime de Tramitação: Prioridade (Art. 151, II, RICD)",925,Tramitando em Conjunto,PL 5001/2016,2081916,2003,CCJC
2077,2124544,PL 7009/2017,7009,2017,7/3/2017 11:07:00,"Altera as leis 11.482/2007, 7.713/1988 e 9.250/1995.","Trata da correção automática dos valores da tabela progressiva do Imposto sobre a a  Renda da Pessoa Física, bem como das deduções.",1,o,1,139,PL,Projeto de Lei,PLEN,PLENÁRIO,180,"Prioridade (Art. 151, II, RICD)",20,Proposição Sujeita à Apreciação do Plenário,5,PDT,141411,Dagoberto Nogueira,104,MS,24/3/2017 11:29:00,"Apense-se à(ao) PL-3089/2008. Proposição Sujeita à Apreciação do Plenário. Regime de Tramitação: Prioridade (Art. 151, II, RICD)",925,Tramitando em Conjunto,PL 3089/2008,388148,2010,CFT
2078,2124543,PL 7008/2017,7008,2017,7/3/2017 11:00:00,"Altera a Lei n 11.347, de 27 de setembro de 2006, para incluir o medidor glicêmico nos equipamentos das equipes de saúde da família.",,1,o,1,139,PL,Projeto de Lei,PLEN,PLENÁRIO,180,"Ordinária (Art. 151, III, RICD)",14,Proposição Sujeita à Apreciação Conclusiva pelas Comissões - Art. 24 II,4,PRP,194260,Nivaldo Albuquerque,121,AL,24/3/2017 11:29:00,"Às Comissões de Seguridade Social e Família e Constituição e Justiça e de Cidadania (Art. 54 RICD) - Art. 24, IIProposição Sujeita à Apreciação Conclusiva pelas Comissões - Art. 24 II. Regime de Tramitação: Ordinária (Art. 151, III, RICD)",915,Aguardando Parecer,,0,2014,CSSF
2079,2124431,PL 7007/2017,7007,2017,23/2/2017 11:32:00,"Dispõe acerca da proibição de indenização pecuniária a ser paga pelo Estado, por danos morais ou materiais, na integralidade ou em parte, a detentos do Sistema Prisional Brasileiro, e dá outras providências.",,1,o,1,139,PL,Projeto de Lei,PLEN,PLENÁRIO,180,"Ordinária (Art. 151, III, RICD)",14,Proposição Sujeita à Apreciação Conclusiva pelas Comissões - Art. 24 II,4,PV,160653,Roberto de Lucena,140,SP,16/3/2017 10:22:00,"Apense-se à(ao) PL-6957/2017. Proposição Sujeita à Apreciação Conclusiva pelas Comissões - Art. 24 II. Regime de Tramitação: Ordinária (Art. 151, III, RICD)",925,Tramitando em Conjunto,PL 6957/2017,2124014,2003,CCJC
2080,2124420,PL 7006/2017,7006,2017,22/2/2017 18:01:00,"Acrescenta artigo ao Código Brasileiro de Aeronáutica, para permitir a transferência de passagem aérea.",,1,o,1,139,PL,Projeto de Lei,PLEN,PLENÁRIO,180,"Urgência (Art. 155, RICD)",21,Proposição Sujeita à Apreciação do Plenário,5,PMDB,114941,Josi Nunes,111,TO,9/3/2017 15:17:00,"Apense-se à(ao) PL-4854/2009. Proposição Sujeita à Apreciação do Plenário. Regime de Tramitação: Urgência (Art. 155, RICD)",925,Tramitando em Conjunto,PL 4854/2009,426512,180,PLEN
2081,2124419,PL 7005/2017,7005,2017,22/2/2017 18:01:00,"Altera a Lei 7.853, de 24 de outubro de 1989, acrescentando-lhe dispositivo referente à classificação da visão monocular como deficiência visual, e dá outras providencias",,1,o,1,139,PL,Projeto de Lei,PLEN,PLENÁRIO,180,"Ordinária (Art. 151, III, RICD)",14,Proposição Sujeita à Apreciação Conclusiva pelas Comissões - Art. 24 II,4,PMDB,114941,Josi Nunes,111,TO,13/3/2017 15:01:00,"Apense-se à(ao) PL-6054/2016. Proposição Sujeita à Apreciação Conclusiva pelas Comissões - Art. 24 II. Regime de Tramitação: Ordinária (Art. 151, III, RICD)",925,Tramitando em Conjunto,PL 6054/2016,2109997,537480,CPD
2082,2124415,PL 7004/2017,7004,2017,22/2/2017 17:28:00,"Altera a Lei no 11.664, de 29 de abril de 2008, que ""dispõe sobre a efetivação de ações de saúde que assegurem a prevenção, a detecção, o tratamento e o seguimento dos cânceres do colo uterino e de mama, no âmbito do Sistema Único de Saúde - SUS"", para assegurar unidades móveis de saúde para a realização de exame mamográfico.",,1,o,1,139,PL,Projeto de Lei,PLEN,PLENÁRIO,180,"Ordinária (Art. 151, III, RICD)",14,Proposição Sujeita à Apreciação Conclusiva pelas Comissões - Art. 24 II,4,PMB,160518,Weliton Prado,164,MG,24/3/2017 11:29:00,"Às Comissões de Defesa dos Direitos da Mulher; Seguridade Social e Família; Finanças e Tributação (Art. 54 RICD) e Constituição e Justiça e de Cidadania (Art. 54 RICD) - Art. 24, IIProposição Sujeita à Apreciação Conclusiva pelas Comissões - Art. 24 II. Regime de Tramitação: Ordinária (Art. 151, III, RICD)",907,Aguardando Designação de Relator,,0,2014,CSSF
2084,2124404,PL 7002/2017,7002,2017,22/2/2017 16:30:00,"Altera a Lei no 10.826, de 22 de dezembro  de 2003",Trata do processo de aquisição de arma de uso permitido.,1,o,1,139,PL,Projeto de Lei,PLEN,PLENÁRIO,180,"Ordinária (Art. 151, III, RICD)",14,Proposição Sujeita à Apreciação do Plenário,5,PR,178865,Cabo Sabino,168,CE,9/3/2017 18:19:00,"Apense-se à(ao) PL-298/2015. Proposição Sujeita à Apreciação do Plenário. Regime de Tramitação: Ordinária (Art. 151, III, RICD)",925,Tramitando em Conjunto,PL 298/2015,946439,5503,CSPCCO
2085,2124401,PL 7001/2017,7001,2017,22/2/2017 16:28:00,Determina aos supermercados e aos estabelecimentos congêneres a discriminação dos preços em braile.,,1,o,1,139,PL,Projeto de Lei,PLEN,PLENÁRIO,180,"Ordinária (Art. 151, III, RICD)",14,Proposição Sujeita à Apreciação Conclusiva pelas Comissões - Art. 24 II,4,PR,178865,Cabo Sabino,168,CE,16/3/2017 11:37:00,"Às Comissões de Defesa do Consumidor; Defesa dos Direitos das Pessoas com Deficiência e Constituição e Justiça e de Cidadania (Art. 54 RICD) - Art. 24, IIProposição Sujeita à Apreciação Conclusiva pelas Comissões - Art. 24 II. Regime de Tramitação: Ordinária (Art. 151, III, RICD)",903,Aguardando Deliberação,,0,537480,CPD
2086,2124394,PL 7000/2017,7000,2017,22/2/2017 16:06:00,"Altera o art. 18 da Lei 8.629, de 25 de fevereiro de 1993",,1,o,1,139,PL,Projeto de Lei,PLEN,PLENÁRIO,180,"Ordinária (Art. 151, III, RICD)",14,Proposição Sujeita à Apreciação Conclusiva pelas Comissões - Art. 24 II,4,PMDB,178884,Hildo Rocha,111,MA,9/3/2017 15:10:00,"Às Comissões de Agricultura, Pecuária, Abastecimento e Desenvolvimento Rural e Constituição e Justiça e de Cidadania (Art. 54 RICD) - Art. 24, IIProposição Sujeita à Apreciação Conclusiva pelas Comissões - Art. 24 II. Regime de Tramitação: Ordinária (Art. 151, III, RICD)",915,Aguardando Parecer,,0,2003,CCJC
2087,2124384,PL 6999/2017,6999,2017,22/2/2017 14:59:00,"Altera o artigo 10 da Lei 6.815, de 19 de agosto de 1980 (Estatuto do Estrangeiro) de modo a permitir que o Poder Executivo conceda dispensa unilateral de visto de turista.",,1,o,1,139,PL,Projeto de Lei,PLEN,PLENÁRIO,180,"Ordinária (Art. 151, III, RICD)",14,Proposição Sujeita à Apreciação Conclusiva pelas Comissões - Art. 24 II,4,PP,92699,Fernando Monteiro,115,PE,9/3/2017 13:06:00,"Às Comissões de Turismo; Relações Exteriores e de Defesa Nacional e Constituição e Justiça e de Cidadania (Mérito e Art. 54, RICD) Proposição Sujeita à Apreciação Conclusiva pelas Comissões - Art. 24 II. Regime de Tramitação: Ordinária (Art. 151, III, RICD)",915,Aguardando Parecer,,0,6066,CTUR
2088,2124370,PL 6997/2017,6997,2017,22/2/2017 12:34:00,"Acrescenta o art. 41-A à Lei nº 11.340, de 7 de agosto de 2006, para vedar a concessão de fiança pela autoridade policial nos crimes praticados no âmbito da Lei nº 11.340, de 7 de agosto de 2016.",,1,o,1,139,PL,Projeto de Lei,PLEN,PLENÁRIO,180,"Ordinária (Art. 151, III, RICD)",14,Proposição Sujeita à Apreciação do Plenário,5,PDT,160598,Flávia Morais,104,GO,9/3/2017 18:19:00,"Apense-se à(ao) PL-7025/2013. Proposição Sujeita à Apreciação do Plenário. Regime de Tramitação: Ordinária (Art. 151, III, RICD)",925,Tramitando em Conjunto,PL 7025/2013,605279,2003,CCJC
